level_0,mid,value_col,iso_code,model_type,R2,MAE,MSE,RMSE,R2_train,MAE_train,MSE_train,RMSE_train,Year,lower,upper,transform,excess,country_name,continent,excess_category
26,2981,2151,BDI,SVR_RBF,,0.06412485635024634,0.06412485635024634,0.004111997201939728,0.8862222353523805,0.05920203980099521,0.06807347101175665,0.004633997455588472,2020,0,0,log transform,0,Burundi,Africa,0. No Excess Deaths
25,2981,2049,BFA,Bayesian_ARD,,0.04029357880555118,0.04029357880555118,0.001623572492959163,0.9549696605265383,0.02214233234472674,0.029051577005038007,0.0008439941264796532,2020,0,0,log transform,0,Burkina Faso,Africa,0. No Excess Deaths
11,3,3,BHR,POISSON,,0.03757464368664509,0.03757464368664509,0.001411853848178338,0.8845557778625499,0.047277341431458425,0.05821044118705307,0.0033884554631913645,2020,0,0,log transform,0,Bahrain,Asia,0. No Excess Deaths
23,3,3,BRN,SVR_RBF,,0.008823538461337321,0.008823538461337321,7.785483097869898e-05,0.8227381853002085,0.052058586326256866,0.060711653301883536,0.0036859048466481065,2020,0,0,log transform,0,Brunei Darussalam,Asia,0. No Excess Deaths
12,8103,3719,BGD,SVR_RBF,,0.280371507164654,0.280371507164654,0.07860818202977962,0.9898317297457607,0.05122662662547844,0.06514738642803629,0.004244181958403886,2020,0,0,log transform,0,Bangladesh,Asia,0. No Excess Deaths
13,1,1,BRB,Bayesian_ARD,,0.17269845341187312,0.17269845341187312,0.02982475581085291,0.8834551143864646,0.03484667233002525,0.049235175798894935,0.0024241025359480893,2020,0,0,log transform,0,Barbados,North America,0. No Excess Deaths
21,148,115,BWA,SVR_RBF,,0.16038553447370418,0.16038553447370418,0.025723519668415754,0.47340816808862596,0.08955248221066982,0.12029319804544727,0.014470453496001201,2020,0,0,log transform,0,Botswana,Africa,0. No Excess Deaths
14,1,1,BLR,SVR_RBF,,0.05056929383319843,0.05056929383319843,0.0025572534787883607,0.9950999285559636,0.08355452304357598,0.09998187343247286,0.009996375015067024,2020,0,0,log transform,0,Belarus,Europe,0. No Excess Deaths
18,7,6,BTN,Bayesian_ridge,,0.06161984071519755,0.06161984071519755,0.0037970047697663176,0.9957287993206692,0.053192457284876524,0.06751737533165432,0.0045585959716754835,2020,0,0,log transform,0,Bhutan,Asia,0. No Excess Deaths
17,2981,2451,BEN,SVR_RBF,,0.04201437934399266,0.04201437934399266,0.0017652080716609169,0.9223757841509214,0.06235945534881867,0.06879488312507766,0.0047327359441930944,2020,0,0,log transform,0,Benin,Africa,0. No Excess Deaths
65,0,0,GRD,SVR_RBF,,0.1463047817762274,0.1463047817762274,0.021405089170589524,0.9800172057739183,0.05086307178542249,0.0626534252882445,0.003925451700349635,2020,0,0,log transform,0,Grenada,North America,0. No Excess Deaths
45,22026,21511,COD,SVR_RBF,,0.10738380532786351,0.10738380532786351,0.011531281646692489,0.6460049936442125,0.05846397927914901,0.06474590400058554,0.004192032084853039,2020,0,0,log transform,0,"Congo, The Democratic Republic of the",Africa,0. No Excess Deaths
