mean,mean_se,mean_ci_lower,mean_ci_upper,year,pdq,geo
6.161151225649033,2.531784643771471,1.19894450724538,11.123357944052685,2091-12-31,602,Western Europe
6.192024945233975,2.533948258275909,1.2255776203251934,11.158472270142756,2092-12-31,602,Western Europe
6.2206620993964,2.5361103499745976,1.2499771526269168,11.191347046165884,2093-12-31,602,Western Europe
6.252904816293475,2.5382866209247874,1.2779544568410186,11.22785517574593,2094-12-31,602,Western Europe
6.2806478097399925,2.5403487125071536,1.3016558250532757,11.25963979442671,2095-12-31,602,Western Europe
6.311971326147221,2.5423272720527352,1.3291014360098963,11.294841216284546,2096-12-31,602,Western Europe
6.338295695916931,2.544120937123133,1.3519102868412993,11.324681104992562,2097-12-31,602,Western Europe
6.366585467558952,2.5457502744319926,1.3770066160392878,11.356164319078616,2098-12-31,602,Western Europe
6.391060671136071,2.547169180732018,1.3987008143709199,11.383420527901222,2099-12-31,602,Western Europe
6.414744682266557,2.5483760077817634,1.4200194879483359,11.409469876584778,2100-12-31,602,Western Europe
3.999749163621786,0.3440587469910472,3.3254064109533545,4.674091916290217,2022-12-31,603,Western Europe
4.090055650846777,0.476208079938307,3.156704965020724,5.02340633667283,2023-12-31,603,Western Europe
4.211964456084887,0.6229755226645259,2.9909548684124,5.432974043757374,2024-12-31,603,Western Europe
4.358421802320302,0.7794338115812709,2.8307596032882323,5.886084001352371,2025-12-31,603,Western Europe
4.53227252269863,0.941990374757966,2.6860053143896283,6.378539731007631,2026-12-31,603,Western Europe
4.725527180065721,1.1055538514894039,2.5586814481769458,6.892372911954496,2027-12-31,603,Western Europe
4.936940120768106,1.2664457202839705,2.454752120636636,7.419128120899575,2028-12-31,603,Western Europe
5.1595430528634285,1.42067701806922,2.3750672637839974,7.94401884194286,2029-12-31,603,Western Europe
5.390871686016805,1.565145773813204,2.3232423387878516,8.458501033245758,2030-12-31,603,Western Europe
5.622103063520547,1.6970185795639365,2.2960077664799114,8.948198360561182,2031-12-31,603,Western Europe
5.8530286758024905,1.8146617002875258,2.296357099114722,9.409700252490259,2032-12-31,603,Western Europe
6.073745048900921,1.916444235873552,2.317583368209375,9.829906729592468,2033-12-31,603,Western Europe
6.284416082395433,2.0022034896491796,2.360169352962626,10.20866281182824,2034-12-31,603,Western Europe
6.4777946453977515,2.0718489674464324,2.4170452877962454,10.538544002999258,2035-12-31,603,Western Europe
6.653317885264393,2.1263306961334894,2.485786301620772,10.820849468908014,2036-12-31,603,Western Europe
6.805837883990533,2.166907643702592,2.5587769445089013,11.052898823472164,2037-12-31,603,Western Europe
6.936985634548415,2.195454625375874,2.6339736391198247,11.239997629977005,2038-12-31,603,Western Europe
7.04143227191672,2.213951892850621,2.7021662984252215,11.380698245408219,2039-12-31,603,Western Europe
7.123664454160605,2.2247645574869144,2.7632060474050624,11.484122860916148,2040-12-31,603,Western Europe
7.179635990821982,2.2300355501759292,2.808846628233196,11.550425353410768,2041-12-31,603,Western Europe
7.21410195796304,2.2319168767984503,2.839625262950956,11.588578652975123,2042-12-31,603,Western Europe
7.225749507647412,2.2321788012590718,2.8507594501258398,11.600739565168983,2043-12-31,603,Western Europe
7.2194966148952755,2.2322411891004625,2.8443842794515044,11.594608950339047,2044-12-31,603,Western Europe
7.19464609560687,2.2330750762533933,2.8178993713761837,11.571392819837556,2045-12-31,603,Western Europe
7.157952453613419,2.235179566454841,2.7770810043820786,11.538823902844758,2046-12-31,603,Western Europe
7.108001056560185,2.2387059194154593,2.7202180825292563,11.495784030591114,2047-12-31,603,Western Europe
7.052221506665625,2.243397525727321,2.6552431532338066,11.449199860097444,2048-12-31,603,Western Europe
6.989862540449476,2.2488914584402053,2.582116276766918,11.397608804132034,2049-12-31,603,Western Europe
6.927080114884412,2.254623510269834,2.508099236058265,11.346060993710559,2050-12-31,603,Western Europe
6.863703143931193,2.260120085789992,2.433949175047232,11.293457112815155,2051-12-31,603,Western Europe
6.805372385686986,2.2649198246213267,2.3662111015584095,11.244533669815562,2052-12-31,603,Western Europe
6.750591853940872,2.268775782104433,2.3038730320194896,11.197310675862255,2053-12-31,603,Western Europe
6.705282304857143,2.2715236538867116,2.2531777532083606,11.157386856505925,2054-12-31,603,Western Europe
6.666670241608305,2.2732468327241238,2.2111883214992734,11.122152161717336,2055-12-31,603,Western Europe
6.639611547857694,2.2740926339939063,2.1824718877218103,11.096751207993577,2056-12-31,603,Western Europe
6.621328035456946,2.2743607501650827,2.163662877281884,11.078993193632009,2057-12-31,603,Western Europe
6.61507678431313,2.274371320495216,2.157390908671702,11.07276265995456,2058-12-31,603,Western Europe
6.617549380966439,2.2744576308305575,2.159694340176248,11.07540442175663,2059-12-31,603,Western Europe
6.631705731338576,2.2749143031205787,2.1729556293072054,11.090455833369946,2060-12-31,603,Western Europe
6.6528590024607785,2.2759393138316866,2.1920999163518697,11.113618088569687,2061-12-31,603,Western Europe
6.683948145689951,2.2776722434838734,2.2197925798750138,11.148103711504888,2062-12-31,603,Western Europe
6.719874257069147,2.2800951905920495,2.2509698021857396,11.188778711952555,2063-12-31,603,Western Europe
6.762695401336737,2.2831602602980934,2.287783520219379,11.237607282454096,2064-12-31,603,Western Europe
6.807743354278554,2.2866788097625177,2.3259352429331024,11.289551465624006,2065-12-31,603,Western Europe
6.856630530687729,2.290477573111296,2.3673769799928808,11.345884081382579,2066-12-31,603,Western Europe
6.90449261599161,2.2942990704038504,2.4077490682363374,11.401236163746884,2067-12-31,603,Western Europe
6.953561673616409,2.297966716387393,2.44962967182535,11.45749367540747,2068-12-31,603,Western Europe
6.998672074173253,2.3012569173991557,2.4882913968972424,11.509052751449264,2069-12-31,603,Western Europe
7.042412576091596,2.3040785183039416,2.526501662663459,11.558323489519733,2070-12-31,603,Western Europe
7.080266843829586,2.306321470431579,2.559959825012231,11.60057386264694,2071-12-31,603,Western Europe
7.114676451190378,2.308000662979968,2.5910782754550734,11.638274626925682,2072-12-31,603,Western Europe
7.1418768541800945,2.309132833873391,2.6160596642693363,11.667694044090853,2073-12-31,603,Western Europe
7.164760141218689,2.3098184316053842,2.6375992044453422,11.691921077992037,2074-12-31,603,Western Europe
7.179632721619636,2.3101522618771044,2.651817489536768,11.707447953702504,2075-12-31,603,Western Europe
7.190203859969695,2.3102684501603012,2.6621609030363356,11.718246816903054,2076-12-31,603,Western Europe
7.193001536383358,2.3102790963039883,2.6649377133917973,11.721065359374919,2077-12-31,603,Western Europe
7.191919094426036,2.310290622256153,2.6638326809833455,11.720005507868727,2078-12-31,603,Western Europe
7.184180946975601,2.310384128925705,2.6559112638282736,11.712450630122927,2079-12-31,603,Western Europe
7.173615949884141,2.3106039472542146,2.6449154307297933,11.70231646903849,2080-12-31,603,Western Europe
7.15772395715511,2.31097733798642,2.6282916056134784,11.687156308696741,2081-12-31,603,Western Europe
7.140697361466427,2.311484807437109,2.6102703880781917,11.671124334854662,2082-12-31,603,Western Europe
7.119811408216974,2.31211027639605,2.588158538195766,11.651464278238183,2083-12-31,603,Western Europe
7.09948520749442,2.3127932134226312,2.5664938054974042,11.632476609491437,2084-12-31,603,Western Europe
7.077039146372907,2.313500347753241,2.542661786555663,11.61141650619015,2085-12-31,603,Western Europe
7.056555309634635,2.314166613187343,2.5208720935624083,11.592238525706861,2086-12-31,603,Western Europe
7.035524905658884,2.3147661462331173,2.498666626409398,11.572383184908372,2087-12-31,603,Western Europe
7.017760117843621,2.3152568186032774,2.479940138420412,11.55558009726683,2088-12-31,603,Western Europe
7.000463009114248,2.315637038409274,2.461897812565077,11.539028205663419,2089-12-31,603,Western Europe
6.987474896781705,2.315895543629672,2.4484030393107377,11.52654675425267,2090-12-31,603,Western Europe
6.975594302109166,2.316055441340843,2.436209050883094,11.514979553335237,2091-12-31,603,Western Europe
6.968441423523005,2.316131213676095,2.4289076612488154,11.507975185797196,2092-12-31,603,Western Europe
6.962764878921334,2.316156434473089,2.4231816847933736,11.502348073049294,2093-12-31,603,Western Europe
6.961736235003423,2.3161576932651284,2.422150573688402,11.501321896318444,2094-12-31,603,Western Europe
6.962040451787207,2.3161629898078626,2.4224444094391835,11.50163649413523,2095-12-31,603,Western Europe
6.966700034865842,2.316195625445321,2.4270400278437885,11.506360041887895,2096-12-31,603,Western Europe
6.972081956524956,2.316267035046905,2.4322819892556478,11.511881923794265,2097-12-31,603,Western Europe
6.98123923739182,2.316389028533314,2.441200167282801,11.52127830750084,2098-12-31,603,Western Europe
6.99039488944586,2.3165537086471146,2.450033052244822,11.5307567266469,2099-12-31,603,Western Europe
7.002428436402765,2.316761083143222,2.4616601526580437,11.543196720147485,2100-12-31,603,Western Europe
3.598716112532534,0.2819322654902252,3.046139026091908,4.1512931989731605,2022-12-31,610,Western Europe
